Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Key events,Total revenue
Nepvent | Newa Ghasa Menu,277,183,1.5136612021857923,28.360655737704917,784,0,0
Nepvent | Monster Meal Menu,195,150,1.3,22.206666666666667,637,0,0
Nepvent | Bricks Cafe Menu,172,2,86,4769,348,0,0
Nepvent | The Burger House and Crunchy Fried Chicken Menu,155,130,1.1923076923076923,35.07692307692308,513,0,0
Nepvent | Find menus for restaurants,84,56,1.5,33.82142857142857,227,0,0
Nepvent | Trisara Menu,57,53,1.0754716981132075,25.07547169811321,203,0,0
Nepvent | Griham Restaurant Menu,45,26,1.7307692307692308,110.15384615384616,116,0,0
Nepvent | Ktm Hunger Station Menu,34,24,1.4166666666666667,31.291666666666668,99,0,0
Nepvent | Villa 72 Restaurant Menu,33,30,1.1,39.56666666666667,123,0,0
Nepvent | Makai Ghar Menu,31,21,1.4761904761904763,37.76190476190476,100,0,0
Nepvent | Paawan Sweets Menu,31,3,10.333333333333334,585,65,0,0
Nepvent | Freak Street Kaffe Menu,29,19,1.5263157894736843,4.684210526315789,78,0,0
Nepvent | The Workshop Eatery Menu,29,24,1.2083333333333333,44.875,99,0,0
Nepvent | The Heritage Restro Menu,28,17,1.6470588235294117,81.58823529411765,86,0,0
Nepvent | Koseli Thakali Menu,27,13,2.076923076923077,26.153846153846153,64,0,0
Nepvent | Momotarou Japanese Restaurant Menu,23,15,1.5333333333333334,64.2,65,0,0
Nepvent | Mustang Thakali Menu,22,19,1.1578947368421053,16.42105263157895,81,0,0
Nepvent | Kantipur Fast Food Menu,21,11,1.9090909090909092,49.45454545454545,55,0,0
Nepvent | Search result for,21,19,1.105263157894737,39.10526315789474,84,0,0
Nepvent | Tama Restaurant & Bar Menu,20,17,1.1764705882352942,48.64705882352941,70,0,0
Nepvent | World of meats Menu,19,18,1.0555555555555556,29.333333333333332,64,0,0
Nepvent | Dhokaima Cafe Menu,18,15,1.2,71.73333333333333,64,0,0
Nepvent | Morrison Cafe Menu,18,11,1.6363636363636365,5.818181818181818,45,0,0
Nepvent | Pawan Sweets Menu,17,14,1.2142857142857142,25.714285714285715,60,0,0
Nepvent | Dalle Menu,13,13,1,55.38461538461539,48,0,0
Nepvent | Kyubi's Kitchen Menu,12,9,1.3333333333333333,59.111111111111114,41,0,0
Nepvent | Thela Ghar Menu,12,7,1.7142857142857142,70.71428571428571,33,0,0
Nepvent | Aalucha Patan Menu,10,8,1.25,7.625,32,0,0
Nepvent | RST Thakali Bhansa and Naan house Menu,10,3,3.3333333333333335,175,21,0,0
Nepvent | Nomads Garden Lounge Menu,9,6,1.5,9.5,24,0,0
Nepvent | Aalucha Menu,8,7,1.1428571428571428,23.571428571428573,16,0,0
Nepvent | Dockyard Restaurant Menu,8,5,1.6,17.6,22,0,0
Nepvent | A-One cafe and Party venue Menu,7,7,1,11.428571428571429,20,0,0
Nepvent | Achaar Ghar Menu,7,6,1.1666666666666667,6.5,13,0,0
Nepvent | Dechenling Garden Menu,7,7,1,8.714285714285714,26,0,0
Nepvent | Gurkhaz Grill Menu,7,7,1,30.428571428571427,26,0,0
Nepvent | Hankook Sarang Menu,7,6,1.1666666666666667,11.5,21,0,0
Nepvent | Shrey Courtyard Menu,7,6,1.1666666666666667,6.166666666666667,21,0,0
Nepvent | Amigo Cafe & Lounge Menu,6,6,1,28.833333333333332,19,0,0
Nepvent | Atrium Café and Bar Menu,6,2,3,61.5,13,0,0
Nepvent | Bar Pipal Dohori Sanjh & Restaurant Menu,6,6,1,8,21,0,0
Nepvent | Biryani Adda Menu,6,6,1,8.5,21,0,0
Nepvent | Burger Shack Menu,6,6,1,11.333333333333334,21,0,0
Nepvent | Drop In Restaurant Menu,5,5,1,115.8,18,0,0
Nepvent | Michael Grills Menu,5,4,1.25,45.75,18,0,0
Nepvent | Perarachu Restro Menu,5,1,5,0,11,0,0
Nepvent | Ageno Bakery Menu,4,3,1.3333333333333333,95.66666666666667,9,0,0
Nepvent | Bhakka House Menu,4,4,1,6.75,12,0,0
Nepvent | Coco Waffle Menu,4,3,1.3333333333333333,56.333333333333336,13,0,0
Nepvent | Organic Garden Menu,4,4,1,56.25,16,0,0
Nepvent | Pokhara Front Family Restaurant Menu,4,2,2,28,10,0,0
Nepvent | Progressio Bistro Menu,4,4,1,9.75,14,0,0
Nepvent | Tiffin Box Menu,4,3,1.3333333333333333,52.333333333333336,13,0,0
